DateTime,DistrictCoolingFacility,DistrictHeatingFacility,DrybulbTemperatureHourly,ElectricityFacility,ZONE10OperativeTemperature,ZONE1OperativeTemperature,ZONE2OperativeTemperature,ZONE3OperativeTemperature,ZONE4OperativeTemperature,ZONE5OperativeTemperature,ZONE6OperativeTemperature,ZONE7OperativeTemperature,ZONE8OperativeTemperature
1546621200,0,15673341.88,3.326774691,1457859.892,19.32404025,18.89843696,13.4775781,18.75173142,19.15022606,19.05231501,19.44751585,18.64678509,20.9003394
1546624800,0,13210688.18,2.748070988,1727507.273,19.40072069,19.00781435,13.43592359,18.8735778,19.21399937,19.23718492,19.492901,18.78252448,20.61003703
1546628400,0,12954753.21,2.373070988,3524012.411,19.42657869,19.0512151,13.40575529,18.92074443,19.23308359,19.28219473,19.50146449,18.81766187,20.60884754
1546632000,0,12747200.36,2.092978395,3624212.744,19.44548154,19.07579391,13.37930147,18.95083812,19.24486527,19.31063235,19.50482588,18.84069599,20.46194073
1546635600,0,12771888.61,1.715277778,3624212.744,19.46098719,19.09433066,13.35034295,18.97377119,19.2543062,19.33154969,19.5068977,18.85959794,20.38602734
1546639200,0,3136019.152,1.261959877,3411047.712,18.45754999,17.71711202,13.31963761,17.53612622,18.03658971,19.34674436,18.42905657,17.14137019,20.18782156
1546642800,0,207951.1233,1.124614198,156814.0642,17.88219781,17.22856509,13.29420809,17.11079952,17.81063034,18.0460593,18.11557321,16.73051475,19.77547947
1546646400,0,277268.1644,0.911651235,56613.73109,17.71991636,17.09137116,13.26234795,16.98890088,17.72906325,17.66266909,18.01313879,16.60638662,19.57426986
1546650000,0,277268.1644,0.476851852,56613.73109,17.61599621,16.99251438,13.2235294,16.89873918,17.6615588,17.5503287,17.9289827,16.50583101,19.42026174
1546653600,0,277268.1644,0.045910494,56613.73109,17.52527447,16.90138559,13.18564261,16.8177278,17.5964055,17.45762502,17.84800219,16.41031303,19.24596261
1546657200,0,277268.1644,0.02970679,56613.73109,17.45790333,16.83527796,13.15678194,16.75645718,17.5496215,17.39134595,17.78926736,16.33878376,19.11175464
1546660800,0,277268.1644,0.200231481,56613.73109,17.41210493,16.79141121,13.13869219,16.71102929,17.51823966,17.34568284,17.75082941,16.28901066,19.02706745
1546664400,0,3896364.044,0.313657407,56613.73109,17.37049282,16.74885204,13.12290644,16.66709701,17.4873558,18.97208903,17.71233996,16.23985407,18.93247858
1546668000,0,20489930.57,0.06867284,56613.73109,19.09407529,18.72188927,13.10065103,18.63705821,19.01209898,19.1829829,19.21408407,18.45659102,19.78841072
1546671600,0,18426050.35,0.761188272,2614218.409,19.24809443,18.91072529,13.09877155,18.80980636,19.14901372,19.23869425,19.35976811,18.68118414,20.01431039
1546675200,0,15991824.11,2.58757716,2411229.924,19.30133918,18.99053412,13.15113222,18.87049681,19.28254814,19.28116424,19.50157683,18.82091731,20.63019386
1546678800,0,14757903.48,3.770833333,2331230.329,19.35075424,19.05360787,13.21068057,18.91460151,19.35430266,19.31468665,19.61020719,18.9053806,21.63671425
1546682400,0,12380915.68,5.102237654,1172085.51,19.39541551,19.08427745,13.276688,18.93606772,19.36349547,19.34155273,19.67257587,18.93567404,22.41171033
1546686000,0,11311893.36,7.043595679,1172085.51,19.43531065,19.1158371,13.37085408,18.95810333,19.34552845,19.36341245,19.72182178,18.9491197,23.19874168
1546689600,0,10419443.92,8.53125,1172085.51,19.47460596,19.1588551,13.45651942,18.98196879,19.34730939,19.38050065,19.74128064,18.97039019,23.63160162
1546693200,0,9765486.561,9.59683642,1172085.51,19.508327,19.20815088,13.5251054,19.00597804,19.35055746,19.39384942,19.7363904,18.98568166,23.78117467
1546696800,0,9504874.085,10.10146605,1172085.51,19.52654578,19.23326143,13.57341412,19.02011183,19.34466352,19.40275043,19.70541244,18.98671748,23.56127668
1546700400,0,10032104.33,9.501157407,1172085.51,19.50161585,19.18409385,13.56893873,19.01618548,19.32901515,19.40711466,19.63334338,18.97333979,22.4304512
1546704000,0,9912780.224,8.702932099,2303687.91,19.50272539,19.16064066,13.53454341,19.01850752,19.3188958,19.4114884,19.59561251,18.96666146,21.72485549
1546707600,0,10047668.43,8.351466049,2343688.567,19.50365996,19.15407888,13.51520149,19.02437896,19.31455838,19.41698154,19.57525175,18.96715024,21.33312324
1546711200,0,10106929.81,7.914737654,2383689.225,19.50732403,19.15119534,13.49581768,19.03076787,19.31213113,19.42263299,19.56094952,18.96948175,21.03194955
1546714800,0,10454272.26,7.103009259,3584212.087,19.51157303,19.16577862,13.46219482,19.04892159,19.30976564,19.42794567,19.5516688,18.97124764,21.0169813
1546718400,0,10619264.28,6.503858025,3624212.744,19.51642037,19.17264538,13.43146528,19.06119405,19.30848338,19.43342088,19.54408597,18.97390888,20.8469913
1546722000,0,10656428.01,6.317901235,3624212.744,19.52166753,19.17801502,13.41612417,19.07116475,19.30824045,19.43898877,19.53789593,18.97753204,20.6928132
1546725600,0,3178975.26,6.330246914,3584212.087,18.82210046,18.04676903,13.40906437,17.86660333,18.25430038,19.44402487,18.66884151,17.52157371,20.55824392
1546729200,0,2392074.384,6.045138889,806304.4088,18.26882505,17.587234,13.39417545,17.46275623,18.05029121,19.44402103,18.39076578,17.15979295,20.16563969
1546732800,0,277268.1644,5.230709877,56613.73109,18.07604217,17.43800334,13.35936656,17.33016641,17.95838102,18.34914654,18.27470193,17.02037147,19.95023778
1546736400,0,277268.1644,4.634645062,56613.73109,17.9573907,17.3260418,13.32037845,17.23054087,17.88124065,18.00850271,18.17993561,16.90531003,19.7641193
1546740000,0,277268.1644,3.93132716,56613.73109,17.85997696,17.22608125,13.27989764,17.14118826,17.80891646,17.89510471,18.09257748,16.80021149,19.57137783
1546743600,0,277268.1644,3.02970679,56613.73109,17.75570498,17.12297199,13.22722446,17.05075201,17.7345882,17.7866954,17.9977927,16.69082603,19.37051297
1546747200,0,277268.1644,2.162037037,56613.73109,17.65762838,17.0295466,13.1730755,16.96745347,17.66757997,17.68945312,17.91007969,16.59054926,19.19543394
1546750800,0,3797557.531,1.254243827,56613.73109,17.56368308,16.93852013,13.11855674,16.88651562,17.60131542,19.10213224,17.8233889,16.49171088,19.01505212
1546754400,0,19191579.23,0.851466049,56613.73109,19.17041148,18.80194685,13.07646416,18.73286435,19.05477324,19.2866959,19.24611048,18.56920917,19.80754303
1546758000,0,17164690.99,1.766975309,2614218.409,19.30146019,18.96896711,13.077953,18.88393169,19.1856465,19.33315588,19.38548777,18.76683405,20.03470137
1546761600,0,14783847.68,3.702546296,2411229.924,19.34985566,19.04374945,13.13153686,18.93855254,19.3268629,19.36905212,19.53517722,18.90714341,20.77114624
1546765200,0,13231455.89,5.888503086,2331230.329,19.39670017,19.1050519,13.22191636,18.97891589,19.39520177,19.39819226,19.64211464,18.98659465,21.85772703
1546768800,0,10536520.17,8.108024691,1172085.51,19.43925045,19.13686407,13.33124022,18.99806041,19.40420279,19.42210797,19.70673209,19.01576144,22.73029518
1546772400,0,9592449.887,9.865354938,1172085.51,19.4768006,19.16743287,13.43891676,19.01750483,19.38336741,19.44099147,19.75092557,19.02533484,23.50511931
1546776000,0,8727977.635,11.45563272,1172085.51,19.5123688,19.20791237,13.54436594,19.03861569,19.38428718,19.45545645,19.75894448,19.04439862,23.78060404
1546779600,0,8074661.232,12.67901235,1172085.51,19.54186637,19.25341992,13.64357546,19.05976166,19.38527353,19.4661767,19.75375201,19.05548803,23.93318812
1546783200,0,7953613.332,12.98765432,1172085.51,19.55391992,19.26940117,13.69770885,19.07006614,19.37677625,19.4724629,19.71691367,19.05172344,23.60123529
1546786800,0,9658799.924,9.451774691,1172085.51,19.5270379,19.21605359,13.5746422,19.06260368,19.35415383,19.47240105,19.64257742,19.0278434,22.340054
1546790400,0,9378317.747,9.060185185,2303687.91,19.52765567,19.19408315,13.50000653,19.06371772,19.34370747,19.47509702,19.60655305,19.01919703,21.66259631
1546794000,0,9045470.874,9.816743827,2343688.567,19.53120561,19.19182891,13.53799202,19.06986615,19.34279592,19.48034758,19.59032842,19.02314352,21.39866048
1546797600,0,9320571.306,8.863811728,2383689.225,19.53603436,19.18696531,13.49703545,19.07429583,19.33869353,19.48399304,19.57480439,19.02214765,21.06660178
1546801200,0,9642424.403,8.127314815,3584212.087,19.54062659,19.20131791,13.46443496,19.09125121,19.33621412,19.48796832,19.56573893,19.02270819,21.06055142
1546804800,0,10284132.31,6.415895062,3624212.744,19.54455892,19.2042824,13.39896004,19.10111261,19.33167903,19.49106298,19.55525981,19.02004089,20.82199944
1546808400,0,10822555.28,5.068287037,3624212.744,19.54791317,19.20575045,13.3303787,19.10880296,19.32808756,19.49423072,19.54620189,19.01817282,20.5811083
1546812000,0,3216059.149,4.611496914,3584212.087,18.80344274,18.05685119,13.2956824,17.90854411,18.2619689,19.49762934,18.6344515,17.56397662,20.41435758
1546815600,0,2494936.692,3.668981481,806304.4088,18.19576862,17.54127205,13.24751265,17.46095343,18.02096825,19.4954361,18.29607929,17.14140183,19.96560161
1546819200,0,277268.1644,2.74537037,56613.73109,17.99153699,17.38170532,13.19312963,17.32173047,17.9204952,18.3506139,18.16693755,16.99141557,19.71538332
1546822800,0,277268.1644,2.563657407,56613.73109,17.88274329,17.28188817,13.15721847,17.23091508,17.85303206,18.02006423,18.08407029,16.88862017,19.54309088
1546826400,0,277268.1644,2.11882716,56613.73109,17.79383913,17.19337356,13.1202791,17.14933378,17.78970525,17.91389478,18.00764681,16.79468037,19.37802894
1546830000,0,277268.1644,1.596450617,56613.73109,17.7039242,17.10496074,13.07718878,17.06947735,17.72692494,17.81715692,17.92753606,16.69958985,19.20762009
1546833600,0,277268.1644,1.709104938,56613.73109,17.64690139,17.04651706,13.05374506,17.01269836,17.68519486,17.75531981,17.87687716,16.63336052,19.07349711
1546837200,0,3617899.757,1.586033951,56613.73109,17.59421375,16.99400646,13.029129,16.95953385,17.64701844,19.1618756,17.83014325,16.57246771,18.96054706
1546840800,0,18656019.16,1.333719136,56613.73109,19.19012548,18.83237587,13.00172489,18.76979157,19.07880448,19.33136853,19.25088178,18.61247455,19.79344888
1546844400,0,17384263.25,1.570987654,2154928.582,19.31551163,18.99317542,12.98981436,18.91442704,19.20319655,19.37552989,19.38632891,18.79983702,20.00229389
1546848000,0,5166009.348,2.757716049,2072339.448,18.09619647,17.74743634,13.01518288,17.58234009,18.25972056,19.40988541,18.64459599,17.34004419,20.61788636
1546851600,0,4964487.416,4.618055556,1871940.502,17.85860317,17.57971779,13.08819488,17.38329451,18.21977879,19.4343037,18.59768322,17.13472559,21.57844449
1546855200,0,0,6.77662037,56613.73109,17.94901771,17.47789924,13.18399584,17.25404038,18.24038252,18.41606253,18.63568485,17.16772494,22.35816413
1546858800,0,0,8.822530864,56613.73109,18.0818274,17.53741599,13.29516266,17.2673863,18.21499133,18.22354708,18.78634222,17.19880857,23.23351792
1546862400,0,9124475.815,10.65779321,56613.73109,19.35321574,19.03881617,13.40185009,18.84302809,19.27619859,18.25443613,19.66160437,18.83914709,23.6415019
